Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"The Riff","Lordi","To Beast Or Not To Beast","Favoritas","Playlist","FIBAR1200241","1phpo4xjmDAWV2kQqRwpAO"
"First Time","Cervello","Cervello","Favoritas","Playlist","SEVGT1001801","40tfS1vsdZ8EQAOqooDVvK"
"Hello - I Just Came to Say Hello","Lady Aqua","Hello (I Want U Back With Ur Love)","Favoritas","Playlist","DEE601100146","1Xt5tpbIur3WH0KvvtJtRn"
"Sovngarde Song","Miracle Of Sound","Level 1","Favoritas","Playlist","TCABC1186738","2TZHK04vqYWVPmIrmQ6kfL"
"Money","I Fight Dragons","Cool Is Just A Number","Favoritas","Playlist","USAT21000518","2T8KA7mD6VFZ45QGfLceos"
"New Noise","Steve Aoki","New Noise (feat. Refused)","Favoritas","Playlist","NLB391000001","2wp6CvEaL4wyGXttE3tuTc"
"Wrong Way","Creed","Human Clay","Favoritas","Playlist","USWU39905053","2dtNP8isbVUs3DWW86cMwX"
"Why I'm Here","Oleander","February Son","Favoritas","Playlist","USUR19801562","0hgOGzUYKKQbQcWDoJpM6H"
"Anti You","Blue Stahli","Blue Stahli (Deluxe Edition)","Favoritas","Playlist","USI4R1058117","2eeUUqITZqOEuNByNoCZG5"
"Rockstar","Blue Stahli","The Devil (Deluxe Edition)","Favoritas","Playlist","QM5LC1500615","0J9xyNtSafUCjLksYrwFqI"
"Do I Wanna Know?","Arctic Monkeys","AM","Favoritas","Playlist","GBCEL1300362","5FVd6KXrgO9B3JPmC8OPst"
"Riot","Dance With the Dead","The Shape","Favoritas","Playlist","TCACL1692674","5k3VFeS8Icp6OCc7qsW2ls"
"They Say","Daron Malakian and Scars On Broadway","Scars on Broadway","Favoritas","Playlist","USUM70815991","297lTBnCfkMyqzCfDCpqn6"
"The Pizzicato Mafia","Sound Stabs","ONE","Favoritas","Playlist","GBSMU1677396","2rjPF6L9EndsFYmiIGch3e"
"The Attack of The Hipster Zombies","Sound Stabs","ONE","Favoritas","Playlist","GBSMU1677394","7lITp9K8Z7uZIOE232LxC9"
"Ready Aim Fire","Blue Stahli","The Devil (Deluxe Edition)","Favoritas","Playlist","QMFMG1457291","4am4K4T77bNZTlYmX3GMYa"
"Heaven (feat. Sofia Quinn) - Club Mix","Fedde Le Grand","Heaven (feat. Sofia Quinn) [Club Mix]","Favoritas","Playlist","NLZ542200145","6uTCim4OGFZOauCqHWIpu9"
"Time is Running Out","Muse","Absolution","Favoritas","Playlist","GBCVT0300078","2takcwOaAZWiXQijPHIx7B"
"Drops of Jupiter (Tell Me)","Train","Drops Of Jupiter","Favoritas","Playlist","USSM10019751","2hKdd3qO7cWr2Jo0Bcs0MA"
"Into the Unknown - Panic! At The Disco Version","Panic! At The Disco","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)","Favoritas","Playlist","USWD11994800","421eObjg0DTm2qajJl5OJm"
"Hysteria","Muse","Absolution","Favoritas","Playlist","GBCVT0300083","7xyYsOvq5Ec3P4fr6mM9fD"
"The River","Blues Saraceno","Dark Country 4","Favoritas","Playlist","GBBPP1645439","1kmbMgdH81XirPnEuGQ2by"
"Master of Puppets","Metallica","Stranger Things: Soundtrack from the Netflix Series, Season 4","Favoritas","Playlist","QMKHM1600219","799XxzSlWNYkuWJxUbuGnF"
"Life Burns!","Apocalyptica","Amplified - A Decade Of Reinventing The Cello","Favoritas","Playlist","DEN120408560","660yDrUefQIuhAI7HZq24T"
"When Worlds Collide","Powerman 5000","Tonight The Stars Revolt","Favoritas","Playlist","USDW19910703","6aF5JtQSrh7wNrkDE9B0My"
"Master Of Puppets","David Garrett","Rock Symphonies","Favoritas","Playlist","GBBBA1042830","3UA0F8MAYMPsgSn4MzoEMT"
"Keep on Rocking","Basto","Keep on Rocking","Favoritas","Playlist","FR52F1312001","18oyq3ocsV8gcp9Ce5zL5v"
"Knights of Cydonia","Muse","Black Holes and Revelations","Favoritas","Playlist","GBAHT0500600","7ouMYWpwJ422jRcDASZB7P"
"Mucho Más Allá","Carmen Sarahi","Frozen 2 (Banda Sonora Original en Español/Edición Deluxe)","Favoritas","Playlist","USWD11995330","6UWaMec3jc3ESl5hfSaejU"
"Drop Dead Cynical","Amaranthe","MASSIVE ADDICTIVE","Favoritas","Playlist","FIUM71400483","5VToMJACRoeT0YZNs5CYyp"
"Evil Ways (Justice Mix)","Blues Saraceno","Dark Country","Favoritas","Playlist","TCABI1214296","2J9jt3JJXCt6SR7MxLcME7"
"Battles","Alpine Universe","Battles","Favoritas","Playlist","GBRKQ2169234","3oS9E4e9ZmKMGmnICiiz9p"
"Viral","Amaranthe","Manifest","Favoritas","Playlist","DED832000450","23nQ0OXajph2n9yzYjP7Hs"
"You Know My Name - From ""Casino Royale"" Soundtrack","Chris Cornell","Carry On","Favoritas","Playlist","USUM70613448","3acBQxxlyb0jC2xqndDzSf"
"Puppet","The Dreaming","Puppet","Favoritas","Playlist","USR3N0900168","1tp2WjgVDtDK87VHtgShZq"
"Mindfreak","Criss Angel","Mindfreak","Favoritas","Playlist","usl4q2070068","3Bzo77WLRI5gg1GUQejj8p"
"Inside The Castle Walls (From ""Super Mario 64"")","FamilyJules","Video Game Guitar Covers, Vol. 3","Favoritas","Playlist","USE831584340","2Eo7GAcr9X8hzda4kX0kBp"
"The Only Thing They Fear Is You","FamilyJules","The Only Thing They Fear Is You","Favoritas","Playlist","QZES52093280","7AYSl3u70hJ402o0u0gry5"
"Focus","Chipzel","Phonetic Symphony","Favoritas","Playlist","uscgh1277343","2cH5U1Diooe8i1zT5uyKK4"
"The Empire of Winds","Alpine Universe","The Empire of Winds (Original Motion Picture Soundtrack)","Favoritas","Playlist","GBWUL2038550","2mg3b0qMy3z8aFZ08kT3U2"
"Click","Ultraspank","Progress","Favoritas","Playlist","USSM10006346","05pEwh1SxKNPNwsKoaomXH"
"Blow Me Away - Soundtrack Version","Breaking Benjamin","Blow Me Away","Favoritas","Playlist","USHR10421403","5JBH2osD5Y5AneMKPOfY1s"
"Hello","Erenity","Smash @eren1ty","Favoritas","Playlist","QZQGC2205767","1TI2fZizDgrMCfN0C3ZkYu"
"Diggy Diggy Hole","FamilyJules","Diggy Diggy Hole","Favoritas","Playlist","QZHN92289193","78SjrwII2t4GGsKun8sCV9"
"This Is Mongol","The HU","This Is Mongol","Favoritas","Playlist","USDPK2200090","0OZNo9Zwar54OYs9wkQMVb"
"Ready 2 Go","Erenity","Smash @eren1ty","Favoritas","Playlist","QZQGC2205766","70l6wcEme4yBTtnx0VYiTR"
